"ST004D01T","ST022Q01TA","REPEAT","SCI.PHY","SCI.CHE","SCI.BIO","SCI.EAR","SCI.APP","SCI.GEN","OUT.MEAL","OUT.STUDY","OUT.VEDIO","OUT.READ","OUT.NET","Out.GAME","OUT.FRD","OUT.PAR","OUT.HOUSE","OUT.JOB","OUT.SPORT","ST111Q01TA","ST062Q01TA","ST062Q02TA","ST062Q03TA","ST031Q01NA","ST032Q01NA","ST064Q01NA","ST064Q02NA","ST064Q03NA","GRADE","MISCED","FISCED","DURECEC","DISCLISCI","TEACHSUP","IBTEACH","TDTEACH","ENVAWARE","ENVOPT","JOYSCIE","INTBRSCI","INSTSCIE","SCIEEFF","EPIST","SCIEACT","BSMJ","BMMJ1","BFMJ2","OUTHOURS","TMINS","BELONG","ANXTEST","MOTIVAT","COOPERATE","CPSVALUE","EMOSUPS","PERFEED","ADINST","unfairteacher","CULTPOSS","HEDRES","WEALTH"
1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,2,1,0,NA,0,1,1,1,2,1,NA,0.6605,0.5731,0.7414,0.314,-0.1306,0.3376,-2.1154,0.015,-0.3438,-1.0524,-1.1145,-0.8649,38,NA,NA,2.07944154167984,NA,-1.1467,0.3813,-0.863,-1.4719,-0.3735,-1.5266,0.324,0.6374,8,-0.2031,-3.6213,-0.4919
0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,2,1,0,2,0,4,1,1,0,1,0,1,NA,-1.0005,0.2079,-0.1049,1.1203,-0.1702,0.46,-0.8208,-0.3744,-0.7778,-0.7154,-0.1933,-1.7612,53,69,50,2.99573227355399,NA,-0.3381,0.2594,0.4631,-0.2882,-0.3735,-0.889,0.0134,0.6524,7,-0.6174,1.1563,-0.7633
1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,2,1,0,0,3,7,0,1,0,1,2,4,NA,-0.8747,-0.848,-2.108,-0.4473,0.4599,-0.4101,0.5094,-0.178,-0.4846,-1.8555,2.1552,-0.3841,NA,58,81,1.94591014905531,1800,2.5915,-0.235,0.1111,0.6615,2.1017,1.0991,0.0134,-0.3816,15,2.1655,1.1563,0.6827
0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,2,0,0,0,0,3,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,-0.3227,-0.8369,0.125,0.1393,-0.3035,-1.0498,-0.1933,-0.0265,42,32,49,NA,600,-0.8913,0.7616,0.1218,-0.2882,-1.3255,-1.0226,NA,NA,7,-1.6287,-0.7218,0.2347
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,2,1,1,0,0,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,-0.2342,-1.7932,-2.1154,-0.3199,0.3708,0.5037,-0.1749,0.9725,37,NA,15,NA,2500,-0.9105,0.5665,-0.3111,-0.7876,0.0333,-0.889,NA,NA,17,-0.831,-1.3175,0.0352
0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,2,1,0,1,0,2,1,1,1,1,4,2,2,1.3185,0.5731,-0.2369,0.2564,0.6965,0.6967,-0.8208,-1.0606,0.0125,0.3049,0.2497,-1.7518,55,62,65,NA,1950,0.3171,-0.2067,1.8543,-0.3266,-0.7149,0.3838,-1.5255,-0.3816,10,-0.5041,1.1563,1.1346
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,0,3,NA,NA,NA,1,2,3,0,NA,NA,NA,NA,-0.1657,-0.5633,-0.119,0.6098,-0.0086,0.1284,-0.1933,-0.0587,89,58,28,1.79175946922805,NA,-0.5064,1.1924,0.8598,1.0425,-0.5546,-0.889,NA,NA,7,0.2293,-0.1639,0.5466
1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,2,1,1,2,2,1,0,0,1,3,4,2,-0.662,0.0487,0.0669,-0.0804,0.5481,1.1524,-0.2778,-0.2052,-0.494,0.3214,2.1552,1.3331,85,NA,23,NA,240,0.0929,1.0461,1.8543,0.5759,-0.3735,1.0991,0.5054,0.0214,9,0.0433,-1.6497,-0.7959
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,1,0,0,7,1,1,1,1,4,4,3,0.8351,1.4475,0.4028,1.4501,1.621,-1.7932,-0.8208,-0.3744,-1.9301,0.1387,-2.7904,-1.7518,64,76,28,1.6094379124341,2000,2.5915,-0.0374,1.8543,-0.2882,0.0333,1.0991,1.0606,-0.3816,15,-1.2278,-0.7541,1.3496
1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,2,0,2,1,0,0,2,4,4,NA,-0.6614,-1.2362,-0.9551,0.658,0.1394,-0.4192,0.5094,-0.0369,0.3708,0.3155,-0.8644,0.7539,72,69,15,2.89037175789616,1800,-0.6239,1.1235,0.1218,-1.9024,-1.6169,0.1711,-1.5255,-0.8077,24,-0.8341,-0.7026,0.001
0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,2,0,0,0,3,6,1,1,2,1,2,3,1,0.6605,0.1904,-0.5091,1.0322,-1.2168,0.1703,0.5094,1.0795,1.0728,-1.0607,2.1552,-1.7518,NA,71,59,3.55534806148941,1925,1.5043,1.1311,0.8101,-0.2882,0.9978,1.0991,1.0825,1.3974,9,-0.6174,1.1563,1.4521
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,7,2,2,2,1,4,4,3,1.8837,1.4475,1.9589,2.0781,-0.0809,0.3988,0.5094,0.5305,0.3708,3.2775,-0.1933,0.1676,46,69,NA,3.2188758248682,350,-0.4725,NA,NA,-0.2882,0.0333,1.0991,2.0902,1.3974,9,0.1157,1.1563,0.69
1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,2,0,0,0,2,5,0,2,0,1,4,4,1,-0.92,0.0322,-1.6446,-0.0904,-0.3864,-1.7932,-0.8208,-2.4981,-0.7778,-1.0524,-2.7904,-1.7518,57,62,62,4.07753744390572,2250,-0.3381,0.5209,-0.1651,-1.6454,-1.3255,0.0264,-1.5255,-1.9656,6,2.1655,1.1563,1.4713
